year,startDate,endDate,teamName,won,draw,lost,goalsFor,goalsAgainst
2023,2023-08-11,2024-05-19,Manchester City FC,28,7,3,96,34
2023,2023-08-11,2024-05-19,Arsenal FC,28,5,5,91,29
2023,2023-08-11,2024-05-19,Liverpool FC,24,10,4,86,41
2023,2023-08-11,2024-05-19,Aston Villa FC,20,8,10,76,61
2023,2023-08-11,2024-05-19,Tottenham Hotspur FC,20,6,12,74,61
2023,2023-08-11,2024-05-19,Chelsea FC,18,9,11,77,63
2023,2023-08-11,2024-05-19,Newcastle United FC,18,6,14,85,62
2023,2023-08-11,2024-05-19,Manchester United FC,18,6,14,57,58
2023,2023-08-11,2024-05-19,West Ham United FC,14,10,14,60,74
2023,2023-08-11,2024-05-19,Crystal Palace FC,13,10,15,57,58
2023,2023-08-11,2024-05-19,Brighton & Hove Albion FC,12,12,14,55,62
2023,2023-08-11,2024-05-19,Everton FC,13,9,16,40,51
2023,2023-08-11,2024-05-19,AFC Bournemouth,13,9,16,54,67
2023,2023-08-11,2024-05-19,Fulham FC,13,8,17,55,61
2023,2023-08-11,2024-05-19,Wolverhampton Wanderers FC,13,7,18,50,65
2023,2023-08-11,2024-05-19,Brentford FC,10,9,19,56,65
2023,2023-08-11,2024-05-19,Nottingham Forest FC,9,9,20,49,67
2023,2023-08-11,2024-05-19,Luton Town FC,6,8,24,52,85
2023,2023-08-11,2024-05-19,Burnley FC,5,9,24,41,78
2023,2023-08-11,2024-05-19,Sheffield United FC,3,7,28,35,104
2024,2024-08-16,2025-05-25,Liverpool FC,25,9,4,86,41
2024,2024-08-16,2025-05-25,Arsenal FC,20,14,4,69,34
2024,2024-08-16,2025-05-25,Manchester City FC,21,8,9,72,44
2024,2024-08-16,2025-05-25,Chelsea FC,20,9,9,64,43
2024,2024-08-16,2025-05-25,Newcastle United FC,20,6,12,68,47
2024,2024-08-16,2025-05-25,Aston Villa FC,19,9,10,58,51
2024,2024-08-16,2025-05-25,Nottingham Forest FC,19,8,11,58,46
2024,2024-08-16,2025-05-25,Brighton & Hove Albion FC,16,13,9,66,59
2024,2024-08-16,2025-05-25,AFC Bournemouth,15,11,12,58,46
2024,2024-08-16,2025-05-25,Brentford FC,16,8,14,66,57
2024,2024-08-16,2025-05-25,Fulham FC,15,9,14,54,54
2024,2024-08-16,2025-05-25,Crystal Palace FC,13,14,11,51,51
2024,2024-08-16,2025-05-25,Everton FC,11,15,12,42,44
2024,2024-08-16,2025-05-25,West Ham United FC,11,10,17,46,62
2024,2024-08-16,2025-05-25,Manchester United FC,11,9,18,44,54
2024,2024-08-16,2025-05-25,Wolverhampton Wanderers FC,12,6,20,54,69
2024,2024-08-16,2025-05-25,Tottenham Hotspur FC,11,5,22,64,65
2024,2024-08-16,2025-05-25,Leicester City FC,6,7,25,33,80
2024,2024-08-16,2025-05-25,Ipswich Town FC,4,10,24,36,82
2024,2024-08-16,2025-05-25,Southampton FC,2,6,30,26,86
